gene_ID	gene_names	baseMean	log2FoldChange	lfcSE	pvalue	padj	miR430	mitochondrial	DE
ENSDARG00000104488	ENSDARG00000104488	si:ch73-299h12.9	9.25333036992666	-5.53042615469507	1.34569132724693	7.48617780273371e-08	9.0913592439185e-06	FALSE	FALSE	down-regulated
ENSDARG00000052215	ENSDARG00000052215	btr02	16.794156018543	-5.12154613830663	1.44626878489512	1.41162778840582e-06	8.86419214190127e-05	FALSE	FALSE	down-regulated
ENSDARG00000044254	ENSDARG00000044254	anxa3b	14.2693508160868	-5.04864327566688	1.44620015076254	1.92544916558955e-06	0.00011329069992022	FALSE	FALSE	down-regulated
ENSDARG00000062372	ENSDARG00000062372	nrd1b	12.491276105613	-4.97629399051673	1.34464503520341	1.19901076190732e-06	7.89392768136778e-05	FALSE	FALSE	down-regulated
ENSDARG00000019338	ENSDARG00000019338	adprhl2	8.50970880748986	-4.937819725876	1.37622970775293	1.8526936168588e-06	0.000110754024415819	FALSE	FALSE	down-regulated
ENSDARG00000117211	ENSDARG00000117211	CR936462.1	43.8171278695689	-4.88385481828073	0.764201226714362	2.87307275031582e-12	2.43987756575049e-09	FALSE	FALSE	down-regulated
ENSDARG00000024865	ENSDARG00000024865	dscama	8.94690084589425	-4.8532222149025	1.36139188544085	2.39154430312139e-06	0.000134874074000563	FALSE	FALSE	down-regulated
ENSDARG00000087492	ENSDARG00000087492	FO704810.1	18.7428378338418	-4.83500203102142	1.36498797757764	2.65964793612512e-06	0.000145598675477619	FALSE	FALSE	down-regulated
ENSDARG00000110117	ENSDARG00000110117	BX000700.6	6.87206709805609	-4.58342857554866	1.60304323453745	2.20735088495866e-05	0.000756625205864843	FALSE	FALSE	down-regulated
ENSDARG00000099106	ENSDARG00000099106	afmid	14.5292970937607	-4.57130293704882	1.29266383896429	4.73094822111785e-06	0.000236468298209386	FALSE	FALSE	down-regulated
ENSDARG00000004527	ENSDARG00000004527	pin4	4.68779738869936	-4.47968559548166	1.31407271178168	8.07655656350818e-06	0.000362474888413302	FALSE	FALSE	down-regulated
ENSDARG00000054748	ENSDARG00000054748	cuedc1b	20.7683917307757	-4.43601023086777	0.979807194686371	1.66942273899599e-07	1.65649816256994e-05	FALSE	FALSE	down-regulated
ENSDARG00000061804	ENSDARG00000061804	si:ch211-194e15.5	7.70226336459451	-4.42147243955457	1.52576448216104	2.82441054857673e-05	0.000919625613256629	FALSE	FALSE	down-regulated
ENSDARG00000062049	ENSDARG00000062049	arhgap45b	13.6240710293017	-4.38662119355525	1.20432700997749	5.00659310467253e-06	0.000246942356268419	FALSE	FALSE	down-regulated
ENSDARG00000104296	ENSDARG00000104296	zgc:165508	15.6625349458976	-4.33969660533123	1.12296943290658	2.67932144241032e-06	0.000146140361156285	FALSE	FALSE	down-regulated
ENSDARG00000021149	ENSDARG00000021149	cbr1l	23.6290972023762	-4.33680832352108	0.818282828805121	4.66981931768014e-09	1.10778491591634e-06	FALSE	FALSE	down-regulated
ENSDARG00000041689	ENSDARG00000041689	usf1	18.9627726798451	-4.3323939754991	0.939183184037182	1.37956166082006e-07	1.44178664482208e-05	FALSE	FALSE	down-regulated
ENSDARG00000106724	ENSDARG00000106724	CU655961.3	11.086531533853	-4.31569328781565	1.12978709067595	3.25658024590771e-06	0.000172862914971557	FALSE	FALSE	down-regulated
