gene_ID	gene_names	baseMean	log2FoldChange	lfcSE	pvalue	padj	miR430	mitochondrial	DE
ENSDARG00000105206	ENSDARG00000105206	hmgcrb	31.5284078913567	-3.11408481277374	0.817325828469269	2.68956563391142e-06	0.000263663087079813	FALSE	FALSE	down-regulated
ENSDARG00000117211	ENSDARG00000117211	CR936462.1	43.8171278695689	-3.10855782888397	0.66144197281667	7.00767771120343e-08	1.23971457072565e-05	FALSE	FALSE	down-regulated
ENSDARG00000052011	ENSDARG00000052011	rrad	55.6140617068382	-3.07353611009493	0.875033257087016	7.78508842803342e-06	0.000632491067805078	FALSE	FALSE	down-regulated
ENSDARG00000052215	ENSDARG00000052215	btr02	16.794156018543	-3.05318779987186	1.21566336281162	7.27160964471648e-05	0.00362192051915312	FALSE	FALSE	down-regulated
ENSDARG00000053453	ENSDARG00000053453	mpp2a	4.03654472089805	-3.03097875679081	1.63960387323597	0.000166860991482021	0.00697868891277117	FALSE	FALSE	down-regulated
ENSDARG00000003189	ENSDARG00000003189	psmd1	18.0746693858761	-3.02786944183166	0.748560323275616	1.43490578246144e-06	0.000154438006278769	FALSE	FALSE	down-regulated
ENSDARG00000058284	ENSDARG00000058284	CT990561.1	10.0742363922363	-3.01967968804098	1.41705673623829	0.000128658422255041	0.00567387328632474	FALSE	FALSE	down-regulated
ENSDARG00000076659	ENSDARG00000076659	cdca7b	36.7235157135259	-3.0111708075543	0.720070224040847	8.74771369870821e-07	0.000104369039951022	FALSE	FALSE	down-regulated
ENSDARG00000024865	ENSDARG00000024865	dscama	8.94690084589425	-3.01104194555398	1.2937489716569	0.000103666958089801	0.0048058378071088	FALSE	FALSE	down-regulated
ENSDARG00000031489	ENSDARG00000031489	ognb	18.0808071965572	-2.99798786453787	0.87255883572136	1.17821660247804e-05	0.000910407618544028	FALSE	FALSE	down-regulated
ENSDARG00000073910	ENSDARG00000073910	cinp	11.3494808213204	-2.98577129788945	1.14910550398484	7.44915464600815e-05	0.00368649322047304	FALSE	FALSE	down-regulated
ENSDARG00000062049	ENSDARG00000062049	arhgap45b	13.6240710293017	-2.95852632099577	1.29476899947828	0.000123167321614464	0.00548646469980171	FALSE	FALSE	down-regulated
ENSDARG00000075072	ENSDARG00000075072	rpap1	28.2931052716506	-2.91531606869724	1.00034196784444	5.00969845045963e-05	0.0027635938656281	FALSE	FALSE	down-regulated
ENSDARG00000041689	ENSDARG00000041689	usf1	18.9627726798451	-2.91356224663673	0.721925603837079	1.98847910676004e-06	0.000205400549880159	FALSE	FALSE	down-regulated
ENSDARG00000032769	ENSDARG00000032769	slc38a9	24.1572923692122	-2.91009250420053	1.07140568765006	7.32667320550888e-05	0.00363757507438668	FALSE	FALSE	down-regulated
ENSDARG00000062372	ENSDARG00000062372	nrd1b	12.491276105613	-2.90052292184625	1.27243861293489	0.000141453289223855	0.00609834054466205	FALSE	FALSE	down-regulated
ENSDARG00000027154	ENSDARG00000027154	tpd52l2a	27.0406856634961	-2.89096167049984	0.725907321623509	2.57080984771409e-06	0.000255373880638294	FALSE	FALSE	down-regulated
ENSDARG00000030803	ENSDARG00000030803	NA	10.2958029946813	-2.87932221471311	1.39733635094622	0.00018778815751289	0.00770732675274905	FALSE	FALSE	down-regulated
ENSDARG00000013928	ENSDARG00000013928	plekhb2	9.83737973106644	-2.86424961482752	0.931561150526842	4.03321477222823e-05	0.00234514255937665	FALSE	FALSE	down-regulated
ENSDARG00000114552	ENSDARG00000114552	siva1	23.7563096473773	-2.80676052288675	0.762128076727378	8.92132844131937e-06	0.000704144441232546	FALSE	FALSE	down-regulated
