gene_ID	gene_names	baseMean	log2FoldChange	lfcSE	pvalue	padj	miR430	mitochondrial	DE
ENSDARG00000101914	ENSDARG00000101914	metrnla	118.846207131982	-4.09825618207601	0.658622829217538	2.99279423872773e-11	7.01750393096877e-08	FALSE	FALSE	down-regulated
ENSDARG00000059613	ENSDARG00000059613	nprl2	10.4893169719012	-4.08844263364285	1.58958469176845	7.10049268648178e-05	0.0036998300558361	FALSE	FALSE	down-regulated
ENSDARG00000098749	ENSDARG00000098749	tbcd	8.41399671089072	-4.03785939399622	1.71125531329709	9.57525217152247e-05	0.00442885425739558	FALSE	FALSE	down-regulated
ENSDARG00000075249	ENSDARG00000075249	fam171a2a	10.9659171116382	-3.82739958410263	1.68099606320481	0.000152233755125969	0.00635156065870771	FALSE	FALSE	down-regulated
ENSDARG00000035132	ENSDARG00000035132	rgs3b	8.91692893666632	-3.75737758672661	1.7271358288682	0.00018623536113637	0.00730241931091237	FALSE	FALSE	down-regulated
ENSDARG00000018423	ENSDARG00000018423	sulf2a	13.3390245868621	-3.63018945419618	1.81990677990099	0.000257521794200093	0.0092586999648752	FALSE	FALSE	down-regulated
ENSDARG00000113768	ENSDARG00000113768	CABZ01058046.1	7.2368611997709	-3.37692850999275	1.91292271887152	0.000433256332606979	0.0130914877409387	FALSE	FALSE	not DE
ENSDARG00000042410	ENSDARG00000042410	rab40b	7.66669070166179	-3.28236237378302	1.67190072556142	0.000502369647999926	0.0143366232956342	FALSE	FALSE	not DE
ENSDARG00000045596	ENSDARG00000045596	rassf8a	10.4409908143892	-2.98729268631108	1.93299693269022	0.000915751715805265	0.0217774302557828	FALSE	FALSE	not DE
ENSDARG00000055934	ENSDARG00000055934	si:ch1073-416j23.1	27.9864893437816	-2.97176995009616	0.951463926192215	0.000108105868465705	0.00489356448606919	FALSE	FALSE	down-regulated
ENSDARG00000095821	ENSDARG00000095821	si:dkey-122a22.2	12.7933678960518	-2.92977369110286	1.57766570870041	0.00095369374433545	0.0224520189931502	FALSE	FALSE	not DE
ENSDARG00000012572	ENSDARG00000012572	polr3f	36.2372065903106	-2.6580525548789	0.763075302585333	5.49694824951251e-05	0.00318016472165375	FALSE	FALSE	down-regulated
ENSDARG00000052827	ENSDARG00000052827	top3a	27.7427581375479	-2.56555283437171	0.613512673203816	6.42957719726344e-06	0.00074049142926598	FALSE	FALSE	down-regulated
ENSDARG00000012192	ENSDARG00000012192	cant1a	20.8670896528912	-2.55063093214239	1.33498915863577	0.001412418853362	0.0296129221948107	FALSE	FALSE	not DE
ENSDARG00000102755	ENSDARG00000102755	NA	8.67814983287682	-2.48779647328569	1.65790716507077	0.0024109208916347	0.0411435757402114	FALSE	FALSE	not DE
ENSDARG00000102777	ENSDARG00000102777	thbs4a	5.84777707406536	-2.45490305314144	2.03866865163691	0.00197264067531729	0.0359248037689542	FALSE	FALSE	not DE
ENSDARG00000086408	ENSDARG00000086408	zgc:171717	4.59496527500512	-2.43433639315326	1.73441534603661	0.00271402142476945	0.0448157565971789	FALSE	FALSE	not DE
ENSDARG00000113393	ENSDARG00000113393	golim4a	8.71520551550664	-2.38813933106467	1.85585968430922	0.00282496530891736	0.0456826114230995	FALSE	FALSE	not DE
ENSDARG00000073926	ENSDARG00000073926	synrg	40.3713823647158	-2.38254617955194	1.13620411795014	0.00119135991784668	0.0264035986329573	FALSE	FALSE	not DE
ENSDARG00000004177	ENSDARG00000004177	fam169ab	25.2804136980773	-2.32993741060863	1.06870849034146	0.00105729639365901	0.0243134754445551	FALSE	FALSE	not DE
ENSDARG00000101707	ENSDARG00000101707	si:ch211-156b7.4	28.830818146694	-2.32798023819502	1.22623272869001	0.0017424826790037	0.0334899457846548	FALSE	FALSE	not DE
ENSDARG00000045268	ENSDARG00000045268	tectb	4.89322053665972	-2.31005707818585	1.97607873372907	0.00275676257006363	0.0451609814851307	FALSE	FALSE	not DE
ENSDARG00000070318	ENSDARG00000070318	arl8bb	28.7316271879181	-2.30206695672744	0.956815582560354	0.000697146659488212	0.0178260489605184	FALSE	FALSE	not DE
ENSDARG00000007438	ENSDARG00000007438	ube2ib	20.2964627846805	-2.30095345885381	0.719717274377639	0.000127104493534001	0.00553278507718853	FALSE	FALSE	down-regulated
ENSDARG00000037455	ENSDARG00000037455	ugt8	8.72639987257146	-2.27944678226761	1.96103099224432	0.00296219746258472	0.0475853316296735	FALSE	FALSE	not DE
ENSDARG00000017985	ENSDARG00000017985	NA	8.00419612833951	-2.27278477714906	1.42204326856226	0.00290245120237397	0.046806517051764	FALSE	FALSE	not DE
ENSDARG00000069995	ENSDARG00000069995	dpy19l1l	55.3277773529276	-2.25103441106606	0.922696660561505	0.000664294221598533	0.0172687038891823	FALSE	FALSE	not DE
ENSDARG00000079068	ENSDARG00000079068	adam12	18.90081793323	-2.21748984307773	1.6072423186005	0.00390990428017165	0.0563834167044679	FALSE	FALSE	not DE
ENSDARG00000100053	ENSDARG00000100053	CABZ01044099.1	5.94290317121215	-2.20951028643681	1.86866821666835	0.00375565908662164	0.0551771267312683	FALSE	FALSE	not DE
ENSDARG00000078083	ENSDARG00000078083	armc5	26.5211426733182	-2.20575741947355	1.10426029843007	0.00158132880502298	0.0314228795086262	FALSE	FALSE	not DE
ENSDARG00000055991	ENSDARG00000055991	hmbsb	11.165226471815	-2.20346983003728	1.38079422819588	0.00312333138211659	0.0492838992246768	FALSE	FALSE	not DE
ENSDARG00000035631	ENSDARG00000035631	sdf2l1	14.474948411703	-2.19512247549205	0.908724848727136	0.000708626352826766	0.0180607290446544	FALSE	FALSE	not DE
ENSDARG00000043360	ENSDARG00000043360	dph3	6.6872440847859	-2.18965209508038	1.45133824989229	0.00356664005488605	0.0534446867943288	FALSE	FALSE	not DE
ENSDARG00000110371	ENSDARG00000110371	CABZ01086293.1	6.85041221359161	-2.14720928902693	1.84195854351009	0.00426727720738323	0.05998747959156	FALSE	FALSE	not DE
ENSDARG00000042608	ENSDARG00000042608	ica1	47.6680582137061	-2.14171129620971	0.768610174835804	0.000328940103833909	0.0110185536495679	FALSE	FALSE	not DE
ENSDARG00000078502	ENSDARG00000078502	si:ch211-150o23.3	9.14671109588598	-2.13914300874646	1.21973248171468	0.00255121452044115	0.0428888271670326	FALSE	FALSE	not DE
ENSDARG00000052089	ENSDARG00000052089	NA	5.03325493976611	-2.11014822232415	1.82994139399163	0.00458284141069031	0.0628412078350095	FALSE	FALSE	not DE
ENSDARG00000098349	ENSDARG00000098349	hdac4	30.5341196808195	-2.09279980301448	1.10623047677743	0.00203916213498999	0.0368368826974155	FALSE	FALSE	not DE
ENSDARG00000024940	ENSDARG00000024940	rnf144b	16.793434683717	-2.0791430979388	1.44659874536086	0.00441062394768353	0.0612679563538409	FALSE	FALSE	not DE
ENSDARG00000042252	ENSDARG00000042252	eif4h	37.2848600861845	-2.05076467427834	0.619371090195718	9.50268199772301e-05	0.0044263653700445	FALSE	FALSE	down-regulated
ENSDARG00000079835	ENSDARG00000079835	man2c1	10.095714900842	-2.04113184645729	1.69710525951484	0.00551868720963434	0.0722917193807296	FALSE	FALSE	not DE
ENSDARG00000075555	ENSDARG00000075555	adamts17	11.7022488142619	-2.02620059099065	1.65763757920197	0.00566904615935918	0.0736034298696866	FALSE	FALSE	not DE
ENSDARG00000056559	ENSDARG00000056559	ccz1	22.4768665408848	-2.01457170492492	0.762530768147769	0.000450652373287845	0.0134781847561906	FALSE	FALSE	not DE
ENSDARG00000042116	ENSDARG00000042116	trim35-40	4.23466319152149	-2.01204512279311	1.59778279736335	0.00572334459862765	0.0741441901373597	FALSE	FALSE	not DE
ENSDARG00000016256	ENSDARG00000016256	nudt3a	36.3014264252921	-2.00641143318688	0.970215630910839	0.00149366777122359	0.0303496723567165	FALSE	FALSE	not DE
ENSDARG00000020656	ENSDARG00000020656	prkg1a	63.9306564116529	-2.00123161348627	0.742984693316976	0.000402244905769454	0.0125090696955997	FALSE	FALSE	not DE
ENSDARG00000039669	ENSDARG00000039669	NA	20.0185603105877	-1.99926649401064	1.85309856471642	0.00530272468615542	0.0702476205881199	FALSE	FALSE	not DE
ENSDARG00000110186	ENSDARG00000110186	NA	35.5112184216081	-1.96828396392857	1.17865301221842	0.00330153067069987	0.0510538665478332	FALSE	FALSE	not DE
ENSDARG00000103187	ENSDARG00000103187	syce2	10.3364324436098	-1.95960169104376	1.48325539488539	0.00582377441379176	0.0750150011716496	FALSE	FALSE	not DE
ENSDARG00000104223	ENSDARG00000104223	lmbrd1	5.93099199906897	-1.94285469642324	1.51604297911468	0.00620158284430253	0.0778451362597462	FALSE	FALSE	not DE
ENSDARG00000079244	ENSDARG00000079244	pigw	35.4084247898998	-1.84395344075893	1.32430520974678	0.00591503167112599	0.0757817018734639	FALSE	FALSE	not DE
ENSDARG00000092556	ENSDARG00000092556	si:ch211-214j8.12	10.2441801060076	-1.8369087647431	1.46186935856211	0.00726744298635957	0.0866345568359936	FALSE	FALSE	not DE
ENSDARG00000094509	ENSDARG00000094509	CR354538.1	8.46389782362021	-1.82780366988152	1.72036443485706	0.00791402443544701	0.0908756341637421	FALSE	FALSE	not DE
ENSDARG00000052617	ENSDARG00000052617	raver1	223.994313924447	-1.82343467293755	0.633793089333597	0.000252378632562357	0.0091323675560527	FALSE	FALSE	not DE
ENSDARG00000102091	ENSDARG00000102091	CABZ01052576.1	17.1408652090885	-1.81566575239397	1.53321377562649	0.00803667644679938	0.0918343027897426	FALSE	FALSE	not DE
ENSDARG00000059965	ENSDARG00000059965	camsap2b	4.81613684906687	-1.80736679759437	1.58285952945484	0.00835556837682521	0.0935632126551087	FALSE	FALSE	not DE
ENSDARG00000012295	ENSDARG00000012295	bcs1l	7.88188458987408	-1.80041270326635	1.66865045826284	0.00848290129443698	0.0945375805855315	FALSE	FALSE	not DE
ENSDARG00000069878	ENSDARG00000069878	snu13a	51.4990915352589	-1.79777475492803	0.920227642996597	0.00196635049164407	0.0359088678567525	FALSE	FALSE	not DE
ENSDARG00000100047	ENSDARG00000100047	ergic1	22.3754957285676	-1.79158094247044	1.27403434993264	0.0060169440478098	0.076427575315842	FALSE	FALSE	not DE
ENSDARG00000102412	ENSDARG00000102412	eci2	25.2359399753318	-1.78818197009761	1.10668195172681	0.00401086036394475	0.0573455206181564	FALSE	FALSE	not DE
ENSDARG00000054096	ENSDARG00000054096	rbm41	8.57360740452935	-1.78513839142207	1.72772387672357	0.0084466651097931	0.0942233127946854	FALSE	FALSE	not DE
ENSDARG00000100594	ENSDARG00000100594	sez6l	6.54301073963803	-1.77714665508362	1.53138918467238	0.00865009770895467	0.0953136706200983	FALSE	FALSE	not DE
ENSDARG00000079931	ENSDARG00000079931	snx19b	13.6913036583851	-1.77357949604487	1.36209703132577	0.00729063988612575	0.086689109558761	FALSE	FALSE	not DE
ENSDARG00000003068	ENSDARG00000003068	gorasp1a	30.3523707427819	-1.77335141823491	0.887654583632625	0.00179080037187182	0.0341736294377742	FALSE	FALSE	not DE
ENSDARG00000091241	ENSDARG00000091241	glt1d1	10.2585516322157	-1.7522337039798	1.40534586244663	0.00809149261180637	0.0921639252028417	FALSE	FALSE	not DE
ENSDARG00000010347	ENSDARG00000010347	acer1	6.81157585975024	-1.73632969674774	1.76651525894987	0.00876535342279693	0.0963800920283175	FALSE	FALSE	not DE
ENSDARG00000018681	ENSDARG00000018681	saal1	32.3330443489751	-1.73040741409903	1.41567456976846	0.00857190642461506	0.0950776073057587	FALSE	FALSE	not DE
ENSDARG00000078572	ENSDARG00000078572	stox2b	82.1326072713521	-1.72015636507352	0.865742467323586	0.00183471547926898	0.0347499261372367	FALSE	FALSE	not DE
ENSDARG00000039820	ENSDARG00000039820	mea1	6.48160354881599	-1.70695259524591	1.66559851422061	0.00998713198431485	0.104730890325677	FALSE	FALSE	not DE
ENSDARG00000097315	ENSDARG00000097315	BX927078.1	5.10347703628205	-1.70439495002395	1.82996794992533	0.00823127042324415	0.0930144722176778	FALSE	FALSE	not DE
ENSDARG00000002347	ENSDARG00000002347	cyp11a1	17.9161454568347	-1.69340797341466	0.863124101166032	0.00193780684796557	0.0357928519670301	FALSE	FALSE	not DE
ENSDARG00000058323	ENSDARG00000058323	tmbim1a	31.7213188843459	-1.67925172556538	1.33441379903634	0.00853208323896836	0.0948153022688769	FALSE	FALSE	not DE
ENSDARG00000102724	ENSDARG00000102724	zgc:153039	13.086647091005	-1.66934614827864	1.59835210786903	0.0108298881751037	0.110408355621665	FALSE	FALSE	not DE
ENSDARG00000011837	ENSDARG00000011837	NA	9.67548273635135	-1.66341614640525	1.3820239843903	0.00945362245405595	0.101043625032503	FALSE	FALSE	not DE
ENSDARG00000008014	ENSDARG00000008014	nudt17	5.62260958986752	-1.6605656822066	1.39552134603136	0.0096749968026299	0.102744259523581	FALSE	FALSE	not DE
ENSDARG00000061409	ENSDARG00000061409	bivm	17.1458362791789	-1.6445567569685	1.26486219318026	0.0081454087262113	0.0925356316919586	FALSE	FALSE	not DE
ENSDARG00000014083	ENSDARG00000014083	wdr82	57.1130027740186	-1.64400852070017	0.772138242697023	0.00131927668625726	0.0282552325634646	FALSE	FALSE	not DE
