Experiment;Treatment;Embryo;Genotype;Feature;Frame
20200907_no_rescue_2;no rescue;1;miR430 -/-;100% Epiboly;69
20200907_no_rescue_2;no rescue;1;miR430 -/-;Kupffer's vesicle;77
20200907_no_rescue_2;no rescue;3;miR430 +/-;100% Epiboly;60
20200907_no_rescue_2;no rescue;3;miR430 +/-;Kupffer's vesicle;72
20200907_no_rescue_2;no rescue;4;miR430 +/-;100% Epiboly;61
20200907_no_rescue_2;no rescue;4;miR430 +/-;Kupffer's vesicle;72
20200907_no_rescue_2;no rescue;5;miR430 +/+;100% Epiboly;60
20200907_no_rescue_2;no rescue;5;miR430 +/+;Kupffer's vesicle;73
20200907_no_rescue_2;no rescue;6;miR430 +/-;100% Epiboly;61
20200907_no_rescue_2;no rescue;6;miR430 +/-;Kupffer's vesicle;70
20200907_no_rescue_2;no rescue;7;miR430 +/+;100% Epiboly;61
20200907_no_rescue_2;no rescue;7;miR430 +/+;Kupffer's vesicle;73
20200907_no_rescue_2;no rescue;8;miR430 +/+;100% Epiboly;59
20200907_no_rescue_2;no rescue;8;miR430 +/+;Kupffer's vesicle;70
20200907_no_rescue_2;no rescue;10;miR430 +/+;100% Epiboly;60
20200907_no_rescue_2;no rescue;11;miR430 -/-;100% Epiboly;74
20200907_no_rescue_2;no rescue;13;miR430 +/-;100% Epiboly;62
20200907_no_rescue_2;no rescue;13;miR430 +/-;Kupffer's vesicle;71
20200907_no_rescue_2;no rescue;14;miR430 +/-;100% Epiboly;61
20200907_no_rescue_2;no rescue;14;miR430 +/-;Kupffer's vesicle;70
20200907_no_rescue_2;no rescue;15;miR430 +/-;100% Epiboly;60
20200907_no_rescue_2;no rescue;15;miR430 +/-;Kupffer's vesicle;70
20200907_no_rescue_2;no rescue;16;miR430 +/+;100% Epiboly;59
20200907_no_rescue_2;no rescue;16;miR430 +/+;Kupffer's vesicle;71
20200907_no_rescue_2;no rescue;18;miR430 +/+;100% Epiboly;59
20200907_no_rescue_2;no rescue;18;miR430 +/+;Kupffer's vesicle;71
20200907_no_rescue_2;no rescue;19;miR430 -/-;100% Epiboly;69
20200907_no_rescue_2;no rescue;20;miR430 +/-;100% Epiboly;61
20200907_no_rescue_2;no rescue;20;miR430 +/-;Kupffer's vesicle;71
20200907_no_rescue_2;no rescue;22;miR430 -/-;100% Epiboly;69
20200907_no_rescue_2;no rescue;22;miR430 -/-;Kupffer's vesicle;77
20200907_no_rescue_2;no rescue;23;miR430 +/-;100% Epiboly;60
20200907_no_rescue_2;no rescue;24;miR430 +/-;100% Epiboly;61
20200907_no_rescue_2;no rescue;24;miR430 +/-;Kupffer's vesicle;71
20200907_no_rescue_2;no rescue;25;miR430 -/-;100% Epiboly;66
20200907_no_rescue_2;no rescue;25;miR430 -/-;Kupffer's vesicle;75
20200907_no_rescue_2;no rescue;26;miR430 +/-;100% Epiboly;61
20200907_no_rescue_2;no rescue;26;miR430 +/-;Kupffer's vesicle;69
20200907_no_rescue_2;no rescue;27;miR430 +/-;100% Epiboly;60
20200907_no_rescue_2;no rescue;27;miR430 +/-;Kupffer's vesicle;71
20200907_no_rescue_2;no rescue;29;miR430 +/+;100% Epiboly;61
20200907_no_rescue_2;no rescue;29;miR430 +/+;Kupffer's vesicle;72
20200907_no_rescue_2;no rescue;30;miR430 -/-;100% Epiboly;68
20200907_no_rescue_2;no rescue;30;miR430 -/-;Kupffer's vesicle;73
