Experiment;Treatment;Embryo;Genotype;Feature;Frame
20201006_no_rescue_6;no rescue;1;miR430 +/+;100% Epiboly;58
20201006_no_rescue_6;no rescue;1;miR430 +/+;Kupffer's vesicle;71
20201006_no_rescue_6;no rescue;3;miR430 +/-;100% Epiboly;58
20201006_no_rescue_6;no rescue;3;miR430 +/-;Kupffer's vesicle;70
20201006_no_rescue_6;no rescue;4;miR430 -/-;100% Epiboly;68
20201006_no_rescue_6;no rescue;4;miR430 -/-;Kupffer's vesicle;79
20201006_no_rescue_6;no rescue;5;miR430 -/-;100% Epiboly;67
20201006_no_rescue_6;no rescue;5;miR430 -/-;Kupffer's vesicle;78
20201006_no_rescue_6;no rescue;6;miR430 +/-;100% Epiboly;60
20201006_no_rescue_6;no rescue;7;miR430 +/-;100% Epiboly;60
20201006_no_rescue_6;no rescue;8;miR430 +/-;100% Epiboly;62
20201006_no_rescue_6;no rescue;8;miR430 +/-;Kupffer's vesicle;72
20201006_no_rescue_6;no rescue;9;miR430 +/+;100% Epiboly;57
20201006_no_rescue_6;no rescue;9;miR430 +/+;Kupffer's vesicle;69
20201006_no_rescue_6;no rescue;10;miR430 +/-;100% Epiboly;58
20201006_no_rescue_6;no rescue;10;miR430 +/-;Kupffer's vesicle;73
20201006_no_rescue_6;no rescue;11;miR430 +/-;100% Epiboly;60
20201006_no_rescue_6;no rescue;11;miR430 +/-;Kupffer's vesicle;73
20201006_no_rescue_6;no rescue;12;miR430 +/-;100% Epiboly;60
20201006_no_rescue_6;no rescue;12;miR430 +/-;Kupffer's vesicle;71
20201006_no_rescue_6;no rescue;13;miR430 +/+;100% Epiboly;61
20201006_no_rescue_6;no rescue;13;miR430 +/+;Kupffer's vesicle;72
20201006_no_rescue_6;no rescue;14;miR430 +/-;100% Epiboly;60
20201006_no_rescue_6;no rescue;14;miR430 +/-;Kupffer's vesicle;69
20201006_no_rescue_6;no rescue;15;miR430 +/-;100% Epiboly;60
20201006_no_rescue_6;no rescue;15;miR430 +/-;Kupffer's vesicle;71
20201006_no_rescue_6;no rescue;16;miR430 -/-;100% Epiboly;68
20201006_no_rescue_6;no rescue;16;miR430 -/-;Kupffer's vesicle;79
20201006_no_rescue_6;no rescue;17;miR430 +/+;100% Epiboly;58
20201006_no_rescue_6;no rescue;17;miR430 +/+;Kupffer's vesicle;70
20201006_no_rescue_6;no rescue;19;miR430 -/-;100% Epiboly;70
20201006_no_rescue_6;no rescue;19;miR430 -/-;Kupffer's vesicle;77
20201006_no_rescue_6;no rescue;20;miR430 +/+;100% Epiboly;59
20201006_no_rescue_6;no rescue;20;miR430 +/+;Kupffer's vesicle;69
20201006_no_rescue_6;no rescue;24;miR430 +/-;100% Epiboly;59
20201006_no_rescue_6;no rescue;24;miR430 +/-;Kupffer's vesicle;73
20201006_no_rescue_6;no rescue;26;miR430 +/-;100% Epiboly;61
20201006_no_rescue_6;no rescue;26;miR430 +/-;Kupffer's vesicle;70
20201006_no_rescue_6;no rescue;27;miR430 -/-;100% Epiboly;69
20201006_no_rescue_6;no rescue;27;miR430 -/-;Kupffer's vesicle;79
20201006_no_rescue_6;no rescue;29;miR430 +/-;100% Epiboly;60
20201006_no_rescue_6;no rescue;29;miR430 +/-;Kupffer's vesicle;72
20201006_no_rescue_6;no rescue;30;miR430 -/-;100% Epiboly;69
