gene_ID	gene_names	baseMean	log2FoldChange	lfcSE	pvalue	padj	miR430	mitochondrial	DE
ENSDARG00000034714	ENSDARG00000034714	esyt1a	28.782478795094	-16.7780387843554	2.20278796661419	1.28777348785199e-14	1.59336213651927e-10	FALSE	FALSE	down-regulated
ENSDARG00000075666	ENSDARG00000075666	tsc22d3	51.305512971213	-15.8556433690946	2.19288427408301	2.56674426863689e-13	1.58791634179221e-09	FALSE	FALSE	down-regulated
ENSDARG00000092407	ENSDARG00000092407	zmp:0000001316	8.76230780554496	-3.82864023328829	7.00320251469351	5.41171904709852e-05	0.0701639055669889	FALSE	FALSE	not DE
ENSDARG00000002060	ENSDARG00000002060	brf2	23.5592691647483	-1.84851046423706	2.19148186812507	8.49984915780853e-06	0.0150240905185093	FALSE	FALSE	not DE
ENSDARG00000104039	ENSDARG00000104039	errfi1a	14.0288233687585	-0.482511576728061	1.78774469327551	0.000173135677815446	0.178517311800876	FALSE	FALSE	not DE
ENSDARG00000116765	ENSDARG00000116765	zgc:162962	16.4599068527789	-0.273032359443188	0.981639644622979	8.82304845806309e-05	0.0992432532469224	FALSE	FALSE	not DE
ENSDARG00000090664	ENSDARG00000090664	moto	4.94900701909034	-0.11743304042485	0.870409666611498	0.000794421162929887	0.451090437646762	FALSE	FALSE	not DE
ENSDARG00000103093	ENSDARG00000103093	alg14	7.89517890556252	-0.116401967169706	0.865857314713552	0.00079978513875417	0.451090437646762	FALSE	FALSE	not DE
ENSDARG00000090304	ENSDARG00000090304	CU929391.2	7.40739170622581	-0.110303077982816	0.830878742566796	0.000802068182997556	0.451090437646762	FALSE	FALSE	not DE
ENSDARG00000055412	ENSDARG00000055412	mylk4b	8.18442067269521	-0.0975495901175011	0.813579246126075	0.00109316001186867	0.520218031801966	FALSE	FALSE	not DE
ENSDARG00000029660	ENSDARG00000029660	commd5	10.7400691535231	-0.0850871890808782	0.744410147470551	0.00117817183173965	0.539908150893134	FALSE	FALSE	not DE
