gene_ID	gene_names	baseMean	log2FoldChange	lfcSE	pvalue	padj	miR430	mitochondrial	DE
ENSDARG00000077620	ENSDARG00000077620	cdca7a	397.470934553957	-1.12412663409442	0.427902707840271	0.000300678632720377	0.0367237948236206	FALSE	FALSE	not DE
ENSDARG00000101914	ENSDARG00000101914	metrnla	118.846207131982	-1.11628583260892	0.908942963917674	0.0038241376194894	0.12690278519622	FALSE	FALSE	not DE
ENSDARG00000039459	ENSDARG00000039459	qsox1	32.1195535665526	-1.10453283829154	0.839066830034774	0.00317692847551677	0.116937079639912	FALSE	FALSE	not DE
ENSDARG00000038863	ENSDARG00000038863	babam2	11.7363456561932	-1.10063830074591	1.20712837761294	0.00670535986301995	0.164470987639511	FALSE	FALSE	not DE
ENSDARG00000117792	ENSDARG00000117792	CR854988.1	5.68384796230708	-1.07552088139047	1.54024965558027	0.00276398686500287	0.11236402044869	FALSE	FALSE	not DE
ENSDARG00000058267	ENSDARG00000058267	glmna	8.00529076998477	-1.07213330529533	1.40895431646179	0.00564173159671328	0.151822264391442	FALSE	FALSE	not DE
ENSDARG00000028053	ENSDARG00000028053	bmp1b	23.2772151774291	-1.05504675654797	1.19171310698671	0.00740023727233742	0.174172626077546	FALSE	FALSE	not DE
ENSDARG00000004306	ENSDARG00000004306	klhl18	24.0224580584606	-1.02949334121031	0.990589332837258	0.00593699825896276	0.15450570771751	FALSE	FALSE	not DE
ENSDARG00000043666	ENSDARG00000043666	abt1	10.2043762298778	-1.02495511654267	1.25396104755514	0.00792227717616135	0.180003836934348	FALSE	FALSE	not DE
ENSDARG00000074697	ENSDARG00000074697	npdc1a	7.30172711240737	-1.0206811562619	1.36304505062396	0.00678364547168391	0.16495615730692	FALSE	FALSE	not DE
ENSDARG00000060169	ENSDARG00000060169	mns1	5.78253471049124	-1.01954657121694	1.40969026912971	0.00581087075548415	0.153076565882215	FALSE	FALSE	not DE
ENSDARG00000052341	ENSDARG00000052341	sgcb	9.85768684557251	-0.995594827932802	1.48363400368345	0.00371337290634444	0.125416912542712	FALSE	FALSE	not DE
ENSDARG00000041869	ENSDARG00000041869	tnfrsf19	7.48414789498036	-0.98409421371604	1.44611624303189	0.00477071661303686	0.138582870694379	FALSE	FALSE	not DE
ENSDARG00000110581	ENSDARG00000110581	mapk4	19.508349548804	-0.966994545612708	1.19903931959037	0.00909820752410601	0.19508097898769	FALSE	FALSE	not DE
ENSDARG00000016256	ENSDARG00000016256	nudt3a	36.3014264252921	-0.960366033699438	1.0260825445419	0.00773814758667741	0.178453475910794	FALSE	FALSE	not DE
ENSDARG00000023578	ENSDARG00000023578	lpp	74.2562631573549	-0.94604877231696	0.801524553392509	0.00433002749652234	0.132750099046349	FALSE	FALSE	not DE
ENSDARG00000078037	ENSDARG00000078037	chpfb	6.00881445091229	-0.939414990761305	1.47212046751586	0.00351426931269357	0.121843117976873	FALSE	FALSE	not DE
